"rank","title","rating","start_year","end_year","episodes","scrape_date","title_id"
1,"Severance",8.7,2022,0,19,2025-02-21,NA
2,"Paradise",7.9,2025,0,9,2025-02-21,NA
3,"Apple Cider Vinegar",7.2,2025,2025,6,2025-02-21,NA
4,"Invincible",8.6,2021,0,25,2025-02-21,NA
5,"The White Lotus",8,2021,0,22,2025-02-21,NA
6,"Cobra Kai",8.4,2018,2025,65,2025-02-21,NA
7,"The Night Agent",7.5,2023,0,21,2025-02-21,NA
8,"Yellowstone",8.6,2018,2024,53,2025-02-21,NA
9,"High Potential",7.6,2024,0,14,2025-02-21,NA
10,"Dexter: Original Sin",8.3,2024,0,10,2025-02-21,NA
11,"The Recruit",7.4,2022,0,14,2025-02-21,NA
12,"Game of Thrones",9.2,2011,2019,74,2025-02-21,NA
13,"Yellowjackets",7.8,2021,0,29,2025-02-21,NA
14,"The Åre Murders",6.7,2025,0,5,2025-02-21,NA
15,"Dexter",8.6,2006,2013,96,2025-02-21,NA
16,"The Rookie",8,2018,0,118,2025-02-21,NA
17,"Solo Leveling",8.4,2024,0,21,2025-02-21,NA
18,"The Pitt",8.4,2025,0,16,2025-02-21,NA
19,"Squid Game",8,2021,2025,18,2025-02-21,NA
20,"American Primeval",8.1,2025,2025,6,2025-02-21,NA
21,"Cassandra",6.6,2025,2025,6,2025-02-21,NA
22,"Breaking Bad",9.5,2008,2013,62,2025-02-21,NA
23,"Silo",8.1,2023,0,22,2025-02-21,NA
24,"Unforgotten",8.4,2015,0,36,2025-02-21,NA
25,"Landman",8.2,2024,0,10,2025-02-21,NA
1,"The White Lotus",8,2021,0,22,2025-02-24,NA
2,"Severance",8.7,2022,0,19,2025-02-24,NA
3,"Reacher",8,2022,0,25,2025-02-24,NA
4,"Cobra Kai",8.4,2018,2025,65,2025-02-24,NA
5,"Zero Day",7,2025,2025,6,2025-02-24,NA
6,"Paradise",7.9,2025,0,9,2025-02-24,NA
7,"Yellowjackets",7.8,2021,0,29,2025-02-24,NA
8,"Invincible",8.6,2021,0,25,2025-02-24,NA
9,"Yellowstone",8.6,2018,2024,53,2025-02-24,NA
10,"Apple Cider Vinegar",7.2,2025,2025,6,2025-02-24,NA
11,"The Night Agent",7.5,2023,0,21,2025-02-24,NA
12,"Game of Thrones",9.2,2011,2019,74,2025-02-24,NA
13,"Dexter: Original Sin",8.3,2024,0,10,2025-02-24,NA
14,"High Potential",7.6,2024,0,14,2025-02-24,NA
15,"The Pitt",8.4,2025,0,16,2025-02-24,NA
16,"The Rookie",8,2018,0,118,2025-02-24,NA
17,"Dexter",8.6,2006,2013,96,2025-02-24,NA
18,"Breaking Bad",9.5,2008,2013,62,2025-02-24,NA
19,"1923",8.3,2022,2025,15,2025-02-24,NA
20,"Squid Game",8,2021,2025,18,2025-02-24,NA
21,"The Day of the Jackal",8.2,2024,0,11,2025-02-24,NA
22,"Silo",8.1,2023,0,22,2025-02-24,NA
23,"Landman",8.2,2024,0,10,2025-02-24,NA
24,"Your Friendly Neighborhood Spider-Man",7.3,2025,0,11,2025-02-24,NA
25,"Solo Leveling",8.4,2024,0,22,2025-02-24,NA
1,"The White Lotus",8,2021,0,22,2025-03-06,NA
2,"Zero Day",7,2025,2025,6,2025-03-06,NA
3,"Severance",8.7,2022,0,20,2025-03-06,NA
4,"Reacher",8,2022,0,25,2025-03-06,NA
5,"Paradise",8,2025,0,9,2025-03-06,NA
6,"1923",8.3,2022,2025,16,2025-03-06,NA
7,"A Thousand Blows",7.5,2024,0,12,2025-03-06,NA
8,"Invincible",8.6,2021,0,25,2025-03-06,NA
9,"Yellowjackets",7.7,2021,0,29,2025-03-06,NA
10,"Suits LA",5.5,2025,0,13,2025-03-06,NA
11,"Yellowstone",8.6,2018,2024,53,2025-03-06,NA
12,"The Pitt",8.5,2025,0,16,2025-03-06,NA
13,"Cobra Kai",8.4,2018,2025,65,2025-03-06,NA
14,"Game of Thrones",9.2,2011,2019,74,2025-03-06,NA
15,"The Rookie",8,2018,0,118,2025-03-06,NA
16,"Toxic Town",7.7,2025,2025,4,2025-03-06,NA
17,"Solo Leveling",8.4,2024,0,23,2025-03-06,NA
18,"Running Point",7.5,2025,0,11,2025-03-06,NA
19,"Dexter",8.6,2006,2013,96,2025-03-06,NA
20,"Breaking Bad",9.5,2008,2013,62,2025-03-06,NA
21,"The Jewel of Section E",6.5,2025,0,16,2025-03-06,NA
22,"High Potential",7.6,2024,0,14,2025-03-06,NA
23,"The Night Agent",7.5,2023,0,21,2025-03-06,NA
24,"Buffy the Vampire Slayer",8.3,1997,2003,145,2025-03-06,NA
25,"Andor",8.4,2022,2025,24,2025-03-06,NA
1,"The White Lotus",8,2021,0,22,2025-03-13,NA
2,"Daredevil: Born Again",8.8,2025,0,17,2025-03-13,NA
3,"Severance",8.7,2022,0,20,2025-03-13,NA
4,"Paradise",8,2025,0,9,2025-03-13,NA
5,"Invincible",8.7,2021,0,25,2025-03-13,NA
6,"Reacher",8,2022,0,25,2025-03-13,NA
7,"Running Point",7.5,2025,0,11,2025-03-13,NA
8,"Zero Day",7,2025,2025,6,2025-03-13,NA
9,"Toxic Town",7.6,2025,2025,4,2025-03-13,NA
10,"1923",8.3,2022,2025,16,2025-03-13,NA
11,"Daredevil",8.6,2015,2018,39,2025-03-13,NA
12,"The Pitt",8.6,2025,0,16,2025-03-13,NA
13,"Yellowjackets",7.7,2021,0,29,2025-03-13,NA
14,"Yellowstone",8.6,2018,2024,53,2025-03-13,NA
15,"Game of Thrones",9.2,2011,2019,74,2025-03-13,NA
16,"The Rookie",8,2018,0,120,2025-03-13,NA
17,"House of David",6.9,2025,0,8,2025-03-13,NA
18,"A Thousand Blows",7.4,2024,0,12,2025-03-13,NA
19,"Suits LA",5.5,2025,0,13,2025-03-13,NA
20,"Dexter",8.6,2006,2013,96,2025-03-13,NA
21,"Breaking Bad",9.5,2008,2013,62,2025-03-13,NA
22,"Solo Leveling",8.4,2024,0,24,2025-03-13,NA
23,"Cobra Kai",8.4,2018,2025,65,2025-03-13,NA
24,"Towards Zero",6.2,2025,2025,3,2025-03-13,NA
25,"High Potential",7.6,2024,0,14,2025-03-13,NA
1,"The White Lotus",8,2021,0,22,2025-03-18,NA
2,"Invincible",8.7,2021,0,25,2025-03-18,NA
3,"Severance",8.7,2022,0,20,2025-03-18,NA
4,"Daredevil: Born Again",8.8,2025,0,17,2025-03-18,NA
5,"Reacher",8,2022,0,25,2025-03-18,NA
6,"Paradise",8,2025,0,9,2025-03-18,NA
7,"Adolescence",8.4,2025,2025,4,2025-03-18,NA
8,"Running Point",7.4,2025,0,11,2025-03-18,NA
9,"The Last of Us",8.7,2023,0,16,2025-03-18,NA
10,"1923",8.3,2022,2025,16,2025-03-18,NA
11,"The Righteous Gemstones",8.1,2019,2025,36,2025-03-18,NA
12,"The Pitt",8.6,2025,0,16,2025-03-18,NA
13,"Zero Day",7,2025,2025,6,2025-03-18,NA
14,"The Wheel of Time",7.2,2021,0,24,2025-03-18,NA
15,"Yellowjackets",7.7,2021,0,29,2025-03-18,NA
16,"Daredevil",8.6,2015,2018,39,2025-03-18,NA
17,"Yellowstone",8.6,2018,2024,53,2025-03-18,NA
18,"The Rookie",8,2018,0,120,2025-03-18,NA
19,"Game of Thrones",9.2,2011,2019,74,2025-03-18,NA
20,"Breaking Bad",9.5,2008,2013,62,2025-03-18,NA
21,"Toxic Town",7.6,2025,2025,4,2025-03-18,NA
22,"Solo Leveling",8.5,2024,0,25,2025-03-18,NA
23,"Dexter",8.6,2006,2013,96,2025-03-18,NA
24,"Dark Winds",7.7,2022,0,21,2025-03-18,NA
25,"Black Mirror",8.7,2011,0,33,2025-03-18,NA
1,"Adolescence",8.4,2025,2025,4,2025-03-24,NA
2,"The White Lotus",8,2021,0,22,2025-03-24,NA
3,"Severance",8.7,2022,0,20,2025-03-24,NA
4,"Invincible",8.7,2021,0,25,2025-03-24,NA
5,"Daredevil: Born Again",8.7,2025,0,17,2025-03-24,NA
6,"Reacher",8,2022,0,25,2025-03-24,NA
7,"The Wheel of Time",7.2,2021,0,24,2025-03-24,NA
8,"1923",8.3,2022,2025,16,2025-03-24,NA
9,"The Pitt",8.7,2025,0,16,2025-03-24,NA
10,"Solo Leveling",8.5,2024,0,26,2025-03-24,NA
11,"The Residence",7.8,2025,2025,8,2025-03-24,NA
12,"Paradise",8,2025,0,9,2025-03-24,NA
13,"The Righteous Gemstones",8.1,2019,2025,36,2025-03-24,NA
14,"Yellowstone",8.6,2018,2024,53,2025-03-24,NA
15,"Yellowjackets",7.7,2021,0,29,2025-03-24,NA
16,"Game of Thrones",9.2,2011,2019,74,2025-03-24,NA
17,"Long Bright River",7.1,2025,2025,8,2025-03-24,NA
18,"The Rookie",8,2018,0,121,2025-03-24,NA
19,"Running Point",7.4,2025,0,11,2025-03-24,NA
20,"Breaking Bad",9.5,2008,2013,62,2025-03-24,NA
21,"Zero Day",7,2025,2025,6,2025-03-24,NA
22,"The Last of Us",8.7,2023,0,16,2025-03-24,NA
23,"Dope Thief",7.5,2025,0,8,2025-03-24,NA
24,"Black Mirror",8.7,2011,0,33,2025-03-24,NA
25,"Daredevil",8.6,2015,2018,39,2025-03-24,NA
1,"Adolescence",8.3,2025,2025,4,2025-04-02,NA
2,"The White Lotus",8,2021,0,22,2025-04-02,NA
3,"Severance",8.7,2022,0,20,2025-04-02,NA
4,"The Residence",7.8,2025,2025,8,2025-04-02,NA
5,"Daredevil: Born Again",8.6,2025,0,17,2025-04-02,NA
6,"Reacher",8,2022,0,25,2025-04-02,NA
7,"Solo Leveling",8.6,2024,0,26,2025-04-02,NA
8,"Invincible",8.7,2021,0,25,2025-04-02,NA
9,"The Pitt",8.8,2025,0,16,2025-04-02,NA
10,"1923",8.3,2022,2025,15,2025-04-02,NA
11,"The Studio",8,2025,0,10,2025-04-02,NA
12,"The Wheel of Time",7.2,2021,0,24,2025-04-02,NA
13,"Good American Family",5.8,2025,2025,8,2025-04-02,NA
14,"Yellowjackets",7.7,2021,0,29,2025-04-02,NA
15,"The Righteous Gemstones",8.1,2019,2025,36,2025-04-02,NA
16,"Game of Thrones",9.2,2011,2019,74,2025-04-02,NA
17,"This City Is Ours",8.2,2025,0,8,2025-04-02,NA
18,"Yellowstone",8.6,2018,2024,53,2025-04-02,NA
19,"The Rookie",8,2018,0,126,2025-04-02,NA
20,"Paradise",8,2025,0,9,2025-04-02,NA
21,"Ludwig",8.1,2024,0,6,2025-04-02,NA
22,"Breaking Bad",9.5,2008,2013,62,2025-04-02,NA
23,"The Last of Us",8.7,2023,0,16,2025-04-02,NA
24,"Happy Face",6.4,2025,2025,8,2025-04-02,NA
25,"Gangs of London",8,2020,0,25,2025-04-02,NA
1,"The White Lotus",8,2021,0,22,2025-04-11,NA
2,"Adolescence",8.3,2025,2025,4,2025-04-11,NA
3,"MobLand",8.2,2025,0,10,2025-04-11,NA
4,"Severance",8.7,2022,0,20,2025-04-11,NA
5,"Daredevil: Born Again",8.5,2025,0,17,2025-04-11,NA
6,"The Residence",7.8,2025,2025,8,2025-04-11,NA
7,"1923",8.3,2022,2025,15,2025-04-11,NA
8,"The Pitt",8.8,2025,0,16,2025-04-11,NA
9,"Reacher",8,2022,0,25,2025-04-11,NA
10,"The Studio",8.1,2025,0,10,2025-04-11,NA
11,"The Bondsman",7.2,2025,0,8,2025-04-11,NA
12,"The Wheel of Time",7.2,2021,0,24,2025-04-11,NA
13,"Invincible",8.7,2021,0,25,2025-04-11,NA
14,"Yellowjackets",7.7,2021,0,29,2025-04-11,NA
15,"Mid-Century Modern",7.6,2025,0,10,2025-04-11,NA
16,"The Righteous Gemstones",8.1,2019,2025,36,2025-04-11,NA
17,"Black Mirror",8.7,2011,0,33,2025-04-11,NA
18,"Solo Leveling",8.6,2024,0,26,2025-04-11,NA
19,"Good American Family",5.8,2025,2025,8,2025-04-11,NA
20,"Game of Thrones",9.2,2011,2019,74,2025-04-11,NA
21,"The Rookie",8,2018,0,144,2025-04-11,NA
22,"The Last of Us",8.7,2023,0,17,2025-04-11,NA
23,"Bosch: Legacy",8.4,2022,2025,30,2025-04-11,NA
24,"Devil May Cry",7.6,2025,0,8,2025-04-11,NA
25,"Yellowstone",8.6,2018,2024,53,2025-04-11,NA
1,"The White Lotus",8,2021,0,22,2025-04-16,NA
2,"Black Mirror",8.7,2011,0,33,2025-04-16,NA
3,"1923",8.3,2022,2025,15,2025-04-16,NA
4,"The Pitt",8.9,2025,0,16,2025-04-16,NA
5,"Daredevil: Born Again",8.5,2025,0,17,2025-04-16,NA
6,"MobLand",8.2,2025,0,10,2025-04-16,NA
7,"Adolescence",8.2,2025,2025,4,2025-04-16,NA
8,"The Last of Us",8.7,2023,0,17,2025-04-16,NA
9,"Severance",8.7,2022,0,20,2025-04-16,NA
10,"The Bondsman",7.2,2025,0,8,2025-04-16,NA
11,"The Handmaid's Tale",8.3,2017,2025,66,2025-04-16,NA
12,"Pulse",6.4,2025,0,10,2025-04-16,NA
13,"The Residence",7.8,2025,2025,8,2025-04-16,NA
14,"Devil May Cry",7.5,2025,0,9,2025-04-16,NA
15,"The Wheel of Time",7.2,2021,0,24,2025-04-16,NA
16,"Yellowjackets",7.7,2021,0,29,2025-04-16,NA
17,"Dying for Sex",7.4,2025,2025,8,2025-04-16,NA
18,"Game of Thrones",9.2,2011,2019,74,2025-04-16,NA
19,"Reacher",8,2022,0,25,2025-04-16,NA
20,"The Righteous Gemstones",8.1,2019,2025,36,2025-04-16,NA
21,"The Rookie",8,2018,0,144,2025-04-16,NA
22,"The Studio",8.1,2025,0,10,2025-04-16,NA
23,"Yellowstone",8.6,2018,2024,53,2025-04-16,NA
24,"Invincible",8.7,2021,0,25,2025-04-16,NA
25,"Good American Family",6,2025,2025,8,2025-04-16,NA
1,"Black Mirror",8.7,2011,0,33,2025-04-22,NA
2,"The Last of Us",8.7,2023,0,17,2025-04-22,NA
3,"The White Lotus",8,2021,0,22,2025-04-22,NA
4,"Daredevil: Born Again",8.3,2025,0,17,2025-04-22,NA
5,"The Pitt",8.9,2025,0,16,2025-04-22,NA
6,"MobLand",8.3,2025,0,10,2025-04-22,NA
7,"Your Friends & Neighbors",7.8,2025,0,10,2025-04-22,NA
8,"The Handmaid's Tale",8.3,2017,2025,66,2025-04-22,NA
9,"Severance",8.7,2022,0,20,2025-04-22,NA
10,"The Wheel of Time",7.2,2021,0,24,2025-04-22,NA
11,"1923",8.3,2022,2025,15,2025-04-22,NA
12,"Adolescence",8.2,2025,2025,4,2025-04-22,NA
13,"Ransom Canyon",6.9,2025,0,10,2025-04-22,NA
14,"The Righteous Gemstones",8.1,2019,2025,36,2025-04-22,NA
15,"Game of Thrones",9.2,2011,2019,74,2025-04-22,NA
16,"The Residence",7.8,2025,2025,8,2025-04-22,NA
17,"The Rookie",8,2018,0,144,2025-04-22,NA
18,"Yellowjackets",7.7,2021,0,29,2025-04-22,NA
19,"Good American Family",6.1,2025,2025,8,2025-04-22,NA
20,"Bosch: Legacy",8.4,2022,2025,30,2025-04-22,NA
21,"The Studio",8,2025,0,10,2025-04-22,NA
22,"Yellowstone",8.6,2018,2024,53,2025-04-22,NA
23,"The Bondsman",7.1,2025,0,8,2025-04-22,NA
24,"9-1-1",7.9,2018,0,142,2025-04-22,NA
25,"Reacher",8,2022,0,25,2025-04-22,NA
1,"The Last of Us",8.7,2023,0,17,2025-04-28,NA
2,"Black Mirror",8.7,2011,0,33,2025-04-28,NA
3,"Andor",8.4,2022,2025,24,2025-04-28,NA
4,"You",7.7,2018,2025,50,2025-04-28,NA
5,"The White Lotus",8,2021,0,22,2025-04-28,NA
6,"Ransom Canyon",6.8,2025,0,10,2025-04-28,NA
7,"MobLand",8.3,2025,0,10,2025-04-28,NA
8,"The Pitt",8.9,2025,0,16,2025-04-28,NA
9,"Daredevil: Born Again",8.2,2025,0,17,2025-04-28,NA
10,"The Handmaid's Tale",8.3,2017,2025,66,2025-04-28,NA
11,"Your Friends & Neighbors",7.8,2025,0,10,2025-04-28,NA
12,"Game of Thrones",9.2,2011,2019,74,2025-04-28,NA
13,"Severance",8.7,2022,0,20,2025-04-28,NA
14,"The Rookie",8,2018,0,144,2025-04-28,NA
15,"The Wheel of Time",7.2,2021,0,24,2025-04-28,NA
16,"The Righteous Gemstones",8.1,2019,2025,36,2025-04-28,NA
17,"1923",8.3,2022,2025,15,2025-04-28,NA
18,"Adolescence",8.2,2025,2025,4,2025-04-28,NA
19,"The Studio",8,2025,0,10,2025-04-28,NA
20,"The Residence",7.8,2025,2025,8,2025-04-28,NA
21,"Wednesday",8,2022,0,16,2025-04-28,NA
22,"Yellowstone",8.6,2018,2024,53,2025-04-28,NA
23,"Étoile",7.3,2025,0,16,2025-04-28,NA
24,"Breaking Bad",9.5,2008,2013,62,2025-04-28,NA
25,"Good American Family",6.2,2025,2025,8,2025-04-28,NA
1,"The Last of Us",8.7,2023,0,17,2025-05-07,NA
2,"You",7.7,2018,2025,50,2025-05-07,NA
3,"Andor",8.4,2022,2025,24,2025-05-07,NA
4,"Black Mirror",8.7,2011,0,33,2025-05-07,NA
5,"The Four Seasons",7.3,2025,2025,8,2025-05-07,NA
6,"MobLand",8.4,2025,0,10,2025-05-07,NA
7,"The White Lotus",8,2021,0,22,2025-05-07,NA
8,"The Eternaut",7.7,2025,0,7,2025-05-07,NA
9,"Ransom Canyon",6.7,2025,0,10,2025-05-07,NA
10,"The Handmaid's Tale",8.3,2017,2025,66,2025-05-07,NA
11,"The Righteous Gemstones",8.1,2019,2025,36,2025-05-07,NA
12,"Your Friends & Neighbors",7.8,2025,0,10,2025-05-07,NA
13,"The Rookie",8,2018,0,144,2025-05-07,NA
14,"The Pitt",8.9,2025,0,16,2025-05-07,NA
15,"Game of Thrones",9.2,2011,2019,74,2025-05-07,NA
16,"Severance",8.7,2022,0,20,2025-05-07,NA
17,"Étoile",7.3,2025,0,16,2025-05-07,NA
18,"The Studio",8,2025,0,11,2025-05-07,NA
19,"Breaking Bad",9.5,2008,2013,62,2025-05-07,NA
20,"Daredevil: Born Again",8.2,2025,0,17,2025-05-07,NA
21,"9-1-1",7.9,2018,0,142,2025-05-07,NA
22,"Yellowstone",8.6,2018,2024,53,2025-05-07,NA
23,"Adolescence",8.2,2025,2025,4,2025-05-07,NA
24,"1923",8.3,2022,2025,15,2025-05-07,NA
25,"Doctor Who",6,2023,0,21,2025-05-07,NA
1,"The Last of Us",8.7,2023,0,17,2025-05-13,NA
2,"Andor",8.4,2022,2025,24,2025-05-13,NA
3,"The Four Seasons",7.3,2025,2025,8,2025-05-13,NA
4,"Black Mirror",8.7,2011,0,33,2025-05-13,NA
5,"MobLand",8.4,2025,0,10,2025-05-13,NA
6,"You",7.7,2018,2025,50,2025-05-13,NA
7,"The Eternaut",7.6,2025,0,7,2025-05-13,NA
8,"The White Lotus",8,2021,0,22,2025-05-13,NA
9,"Poker Face",7.8,2023,0,22,2025-05-13,NA
10,"The Handmaid's Tale",8.3,2017,2025,66,2025-05-13,NA
11,"Your Friends & Neighbors",7.8,2025,0,10,2025-05-13,NA
12,"The Righteous Gemstones",8.1,2019,2025,36,2025-05-13,NA
13,"The Rookie",8,2018,0,144,2025-05-13,NA
14,"Game of Thrones",9.2,2011,2019,74,2025-05-13,NA
15,"The Pitt",8.9,2025,0,16,2025-05-13,NA
16,"Severance",8.7,2022,0,20,2025-05-13,NA
17,"The Studio",8,2025,0,11,2025-05-13,NA
18,"Ransom Canyon",6.8,2025,0,10,2025-05-13,NA
19,"Breaking Bad",9.5,2008,2013,62,2025-05-13,NA
20,"Yellowstone",8.6,2018,2024,53,2025-05-13,NA
21,"Grey's Anatomy",7.6,2005,0,466,2025-05-13,NA
22,"9-1-1",7.9,2018,0,142,2025-05-13,NA
23,"Doctor Who",6.2,2023,0,21,2025-05-13,NA
24,"Criminal Minds",8.1,2005,0,355,2025-05-13,NA
25,"Hacks",8.2,2021,0,37,2025-05-13,NA
1,"Andor",8.5,2022,2025,24,2025-05-19,NA
2,"The Last of Us",8.6,2023,0,17,2025-05-19,NA
3,"MobLand",8.4,2025,0,10,2025-05-19,NA
4,"The Four Seasons",7.2,2025,2025,9,2025-05-19,NA
5,"Love, Death & Robots",8.4,2019,0,45,2025-05-19,NA
6,"Black Mirror",8.7,2011,0,33,2025-05-19,NA
7,"The Handmaid's Tale",8.3,2017,2025,66,2025-05-19,NA
8,"Murderbot",7.4,2025,0,10,2025-05-19,NA
9,"Your Friends & Neighbors",7.8,2025,0,10,2025-05-19,NA
10,"Poker Face",7.8,2023,0,22,2025-05-19,NA
11,"You",7.7,2018,2025,50,2025-05-19,NA
12,"The White Lotus",8,2021,0,22,2025-05-19,NA
